address,balance
PtZ5BPcdnzyVm3TM9qSeBuYTULzXmTfqsRr,10988798102
PtgppatXjFAmG4xyZK2vb5RAHwXs2jTw1R2,10968597117
PtXR7cxqeEG4ajRVQm4itF96WRefB27cDzN,10967547515
PtU6YJfiWPpw3UTZde4c29v7GSHhAc8bKgK,10947132175
PtfovX5DQZngpnk726HNVMKZHPM157C8cBr,10903795231
PtmTWRdQaSEHoDn3ssUxK4xuyUTiEdRj8M3,10903259885
PtZuRbWp6EPKVzjo6fTrXkKoGiPs5CT8T5K,10828773167
Ptd6ZhkwMWyZkbzLE4dTSBrA3dCK4To5ADM,10724122564
PtXfYWFAQ7862YDbWn3pYXXPo2VBwshNSi9,10695252945
PtpVTxzWECFrUyWABhoAH3MFjZyVNhY5A3Z,10661848083
PtTXJZVwVk2QfZaCwBmGny21T2sXiT1ckZn,10607468074
Ptn6JCER2Ttdb4EecsU7B9ykaWaYaaJ9AyB,10607468074
PtoUNPdpsXMw5kpjeDa28LxPSitCg6rDogy,10606691217
PtYtGsRdCUQ8zGUY1UyXaKSnvq7QYS7z6En,10606691217
PtfoCn5uinPYKRH3khHPK3th9HZGZZbXXmc,10606691217
PtbaxgDZDHMXhiAVVDf5C7CWE8Uv9oeSkS1,10606691217
PtqXzvHvCM1aNu6N7B93sFrfjZN9UwVfDCA,10560628107
PtkU7x2Ljne7b4mYSTs1jjB4ZurSXfeRuJq,10556337535
PtbnnXJcLy9KZZcf7LbSZh2uzhzx2cgjFLN,10475946708
PtYwFXWaR5M6QZD5JZqfMKsSfYJ6BkYcwNw,10391896405
PtdDbqquM8742Ujh2z18XQ3L6cCaybqkLeL,10365972357
PtfP3HPUvH8kRJr8XzgJfT3tnSMeEBqREEo,10358836843
PtmxaRBoKYtUjc8pLwMjiKi4kKs77GxHLir,10358096891
Ptj9stRPCtDL3czhHxLAsPx2Hnk4sxoRjCv,10353930676
PtnRMjCNL9p8aU2zq3K6Ht6jvt2eTwVd73w,10278878894
PtYTGn1QxU4U7ENeqLJrJyKNgoRT24M4Z1i,10259564894
PtbjbWQEpTkEM5XAaXeszprnMj2W9toaXAS,10194807110
PtpLpCF3qQS8aqasRZMrVDunK83gspzzuqK,9986098098
PtgFuSoim8utuj48VBtZ4u3SDKu1cbZXaJf,9951513999
Ptgx1osmT1g2WWYrPw3K4YcjgwhF6PFBGZu,9931429178
PtaQc8haqhyMcnbyVHwrhSLyYqpcKxbnV8x,9781927752
PtktMr1LFExWdWG99cQbk6tavLT9iAKcc7m,9670448734
